,tBall,wStrike,tStrike,wBall,sRate,bRate,totalCalled,leagueSR,leagueBR,srDiff,brDiff,extraStr,extraBall,extraDiff,extraRate
2-seam,118920,11521,58608,8772,0.0968802556340397,0.14967239967239968,177528.0,0.07752933594811406,0.1565857063142125,0.01935091968592563,-0.006913306641812833,2301.211369050276,-405.1750756633665,2706.3864447136425,0.015244842755585837
4-seam,353283,33583,183481,27936,0.09505976794807562,0.15225554689586387,536764.0,0.07752933594811406,0.1565857063142125,0.017530431999961557,-0.004330159418348634,6193.203608242418,-794.5019802380257,6987.705588480444,0.013018208353169072
changeup,101096,5820,29019,4845,0.057569043285589934,0.16695957820738136,130115.0,0.07752933594811406,0.1565857063142125,-0.01996029266252413,0.010373871893168851,-2017.9057470105395,301.0393884678669,-2318.9451354784064,-0.017822273646223775
curveball,80507,5781,44636,5996,0.07180742047275392,0.1343310332467067,125143.0,0.07752933594811406,0.1565857063142125,-0.005721915475360148,-0.02225467306750581,-460.6542491748194,-993.3595870411893,532.70533786637,0.004256772954670816
cutter,51060,4293,21829,3364,0.08407755581668624,0.154106921984516,72889.0,0.07752933594811406,0.1565857063142125,0.00654821986857218,-0.002478784329696504,334.3521064892955,-54.109383132944984,388.4614896222405,0.0053294940199788785
knuckle-curve,23656,1729,14401,1947,0.07308927967534663,0.13519894451774184,38057.0,0.07752933594811406,0.1565857063142125,-0.004440056272767431,-0.02138676179647067,-105.03397118858636,-307.99075663097415,202.9567854423878,0.005332968585079954
knuckleball,3850,296,1831,374,0.07688311688311689,0.2042599672310213,5681.0,0.07752933594811406,0.1565857063142125,-0.0006462190649971777,0.04767426091680879,-2.4879434002391343,87.2915717386769,-89.77951513891603,-0.015803470364181664
sinker,84967,8596,47599,6769,0.10116868902044324,0.1422088699342423,132566.0,0.07752933594811406,0.1565857063142125,0.023639353072329172,-0.014376836379970198,2008.5649124965928,-684.3230348502015,2692.887947346794,0.02031356416688136
slider,144508,10238,67284,9617,0.07084728873141971,0.14293145472920754,211792.0,0.07752933594811406,0.1565857063142125,-0.006682047216694353,-0.013654251585004967,-965.6092791900676,-918.7126636454742,-46.896615544593374,-0.0002214277005014041
split-fast,14193,680,3784,696,0.04791094201366871,0.1839323467230444,17977.0,0.07752933594811406,0.1565857063142125,-0.029618393934445354,0.02734664040883189,-420.3738651115829,103.47968730701987,-523.8535524186028,-0.029140209846949035
